deployment_id,species,week,n_images
SUN_PRAIRIE_100_R1,Pronghorn,22,0
SUN_PRAIRIE_100_R1,White-tailed deer,22,0
SUN_PRAIRIE_100_R1,American bison,23,0
SUN_PRAIRIE_100_R1,Coyote,23,0
SUN_PRAIRIE_100_R1,Mule deer,23,0
SUN_PRAIRIE_100_R1,Pronghorn,23,0
SUN_PRAIRIE_100_R1,White-tailed deer,23,0
SUN_PRAIRIE_100_R1,American bison,24,0
SUN_PRAIRIE_100_R1,Coyote,24,0
SUN_PRAIRIE_100_R1,Mule deer,24,0
SUN_PRAIRIE_100_R1,Pronghorn,24,0
SUN_PRAIRIE_100_R1,White-tailed deer,24,0
SUN_PRAIRIE_100_R1,American bison,25,0
SUN_PRAIRIE_100_R1,Coyote,25,0
SUN_PRAIRIE_100_R1,Mule deer,25,0
SUN_PRAIRIE_100_R1,Pronghorn,25,0
SUN_PRAIRIE_100_R1,White-tailed deer,25,0
SUN_PRAIRIE_100_R2,American bison,25,0
SUN_PRAIRIE_100_R2,Coyote,25,0
SUN_PRAIRIE_100_R2,Mule deer,25,0
SUN_PRAIRIE_100_R2,Pronghorn,25,0
SUN_PRAIRIE_100_R2,White-tailed deer,25,0
SUN_PRAIRIE_100_R2,American bison,26,0
SUN_PRAIRIE_100_R2,Coyote,26,0
SUN_PRAIRIE_100_R2,Mule deer,26,5
SUN_PRAIRIE_100_R2,Pronghorn,26,0
SUN_PRAIRIE_100_R2,White-tailed deer,26,0
SUN_PRAIRIE_100_R2,American bison,27,0
SUN_PRAIRIE_100_R2,Coyote,27,0
SUN_PRAIRIE_100_R2,Mule deer,27,0
SUN_PRAIRIE_100_R2,Pronghorn,27,0
SUN_PRAIRIE_100_R2,White-tailed deer,27,0
SUN_PRAIRIE_100_R2,American bison,28,0
SUN_PRAIRIE_100_R2,Coyote,28,0
SUN_PRAIRIE_100_R2,Mule deer,28,136
SUN_PRAIRIE_100_R2,Pronghorn,28,0
SUN_PRAIRIE_100_R2,White-tailed deer,28,0
SUN_PRAIRIE_100_R2,American bison,29,0
SUN_PRAIRIE_100_R2,Coyote,29,0
SUN_PRAIRIE_100_R2,Mule deer,29,15
SUN_PRAIRIE_100_R2,Pronghorn,29,0
SUN_PRAIRIE_100_R2,White-tailed deer,29,0
SUN_PRAIRIE_100_R2,American bison,30,0
SUN_PRAIRIE_100_R2,Coyote,30,0
SUN_PRAIRIE_100_R2,Mule deer,30,0
SUN_PRAIRIE_100_R2,Pronghorn,30,0
SUN_PRAIRIE_100_R2,White-tailed deer,30,0
SUN_PRAIRIE_100_R3,American bison,30,15
SUN_PRAIRIE_100_R3,Coyote,30,0
SUN_PRAIRIE_100_R3,Mule deer,30,0
SUN_PRAIRIE_100_R3,Pronghorn,30,0
SUN_PRAIRIE_100_R3,White-tailed deer,30,0
